City;Title;Description;Type;Comments;lat;lng
Tokio;Oedo Antique Market;;Compras;Mercadillo tradicional;35.6773272;139.7645021
Tokio;TRAINIART TOKYO - Gransta Tokyo Station;;Compras;Souvenirs gachapon de trenes. Detrás de la JR Gate;35.6816041;139.7654364
Kawaguchi;Tenku no torii;;Spots;Torii con Monte Fuji detrás;35.5347129;138.7777561
Fukuoka;小文字山;;Spots;Monte Komonji;33.8732811;130.9078546
Arakurayama;Arakurayama Sengen Park Observation Deck;;Spots;Cima del Akurayama (1h caminando). Vistas al Mt Fuji;35.501366;138.801551
Fujikawaguchiko;Kawaguchiko Station;;Spots;Estación con Mt. Fuji detrás;35.4986612;138.7663507
Kioto;Fushimi-Momoyama-jō Castle;;Visitas;Castillo con pocos turistas;34.9394686;135.7769255
Tokio;Oi Racecourse;;Compras;Flea Market Sabados 9:00-14:00. Solo CASH;35.5875323;139.6369453
Kibune River;Hirobun;;Comida;Restaurante de Nagashi Somen (fideos que se delizan sobre bambú);35.1268314;135.763551
Kibune River;Kifune Shrine;;Visitas;Castillo con pocos turistas;35.1220909;135.7629101
Tokio;Sofmap Akihabara Headquarters;;Compras;Tienda outlet tecnología;35.6993327;139.7691199
Tokio;book off シンジュクエキニシグチテン;;Compras;Book off Shinjuku. Tiendas de segunda mano;35.6895683;139.698385
Osaka;book off オオサカシンサイバシミセ;;Compras;Book off Osaka. Tiendas de segunda mano;34.6764924;135.5015768
Tokio;BOOKOFF PLUS Ueno Hirokoji Store;;Compras;Book off Ueno. Tiendas de segunda mano;35.7082659;139.7734783
Tokio;BOOKOFF Akihabara Ekimae Store;;Compras;Book off Akihabara. Tiendas de segunda mano;35.6977342;139.7734748
Tokio;unu glänta shimokitazawa;;Compras;Joyas con grabados personalizados. LBGTI frienly;35.6609984;139.6664552
Tokio;GU - 银座;;Compras;Ropa UNIQLO más barata;35.670881;139.7642627
Ashinomaki Onsen Ookawaso;Ashinomaki Onsen Ookawaso;;Alojamiento;Onsen Muzan Kimetsu no yaiba;37.3668585;139.913719
Nagano;Lake Suwa;;Spots;Lago de Your Name;36.0478969;138.0827704
Tokio;Yanaka Ginza;;Compras;Mercadillo tradicional;35.7276934;139.7657232
Tokio;無印良品 上野マルイ;;Compras;Mujirushi store Ueno. Tienda de ropa estilo japonés;35.7107436;139.7758565
